,championship,season,round,event,circuit,f0_,f1_,elapsed_hour,event_key
109,FIAWEC,2019-2020,6,6 hours of CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,5237,363.761,6,FIAWEC_2019-2020_6
110,FIAWEC,2019-2020,7,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,3883,362.198,6,FIAWEC_2019-2020_7
111,FIAWEC,2019-2020,8,24 hours of LE MANS,LE MANS,17679,1446.005,24,FIAWEC_2019-2020_8
112,FIAWEC,2019-2020,9,8 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,5709,482.073,8,FIAWEC_2019-2020_9
113,FIAWEC,2021,2,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4739,362.474,6,FIAWEC_2021_2
114,FIAWEC,2021,3,8 hours of AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,8582,481.908,8,FIAWEC_2021_3
115,FIAWEC,2021,4,6 hours of AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,6547,362.901,6,FIAWEC_2021_4
116,FIAWEC,2021,5,24 hours of LE MANS,LE MANS,17771,1444.445,24,FIAWEC_2021_5
117,FIAWEC,2021,6,6 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,5411,362.62,6,FIAWEC_2021_6
118,FIAWEC,2021,7,8 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,7001,483.421,8,FIAWEC_2021_7
119,FIAWEC,2022,1,1000 Miles of SEBRING,SEBRING,6407,439.809,7,FIAWEC_2022_1
120,FIAWEC,2022,2,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,3483,362.829,6,FIAWEC_2022_2
121,FIAWEC,2022,3,24 hours of LE MANS,LE MANS,20502,1445.614,24,FIAWEC_2022_3
122,FIAWEC,2022,4,6 hours of AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,6539,362.62,6,FIAWEC_2022_4
123,FIAWEC,2022,5,6 hours of FUJI SPEEDWAY,FUJI SPEEDWAY,7746,362.899,6,FIAWEC_2022_5
124,FIAWEC,2022,6,8 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,8509,482.61,8,FIAWEC_2022_6
125,FIAWEC,2023,1,1000 Miles of SEBRING,SEBRING,7417,482.271,8,FIAWEC_2023_1
126,FIAWEC,2023,2,6 hours of AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,7596,363.046,6,FIAWEC_2023_2
